pyname,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
lianyungang city,1101,1134,1167,1242,1445,1559,1766,2326,2595,2797,3256,3538,3587,3960,4663,5864,7318,9059,11529,13664,14220,14667,16253,17651,19846,24585,30758,30899,33522,36091,38164,41668,51276,53096,58352,61401,64677,57212
ganyu district,279,317,349,384,450,538,586,740,909,952,1013,1057,1068,1105,1322,1900,2977,4007,4692,4991,5398,5839,5911,6318,6894,5725,6112,6946,8488,10402,12798,16465,19807,24815,28669,31940,31677,49274
donghai county,237,260,307,371,440,492,596,727,855,850,927,954,1023,1053,1146,1607,2519,3449,4110,4275,4774,5011,5085,5504,6004,5097,6002,6752,7903,9627,11159,14377,17388,21135,23496,26636,33487,40947
guanyun county,205,230,244,262,382,403,455,515,598,726,891,928,1098,1101,1040,1024,2055,2776,3676,4248,4787,5031,4586,4723,4959,3731,3918,4425,5203,6414,8765,11757,14974,18878,21595,24128,26425,37542
guannan county,162,176,196,198,296,289,351,366,484,612,745,653,757,844,995,1312,1808,1941,2283,2666,3015,3285,3137,3389,3724,4087,4808,5411,6498,8434,10527,14006,18393,23520,26733,29363,31833,44682
huaian city,326,350,374,423,491,549,632,718,801,964,1184,1232,1308,1285,1599,2034,2990,3630,3995,4585,4939,5687,6239,6987,8005,9402,11497,13053,14730,17234,19957,24975,31352,37259,29753,32342,36083,52355
lianshui county,178,206,231,324,361,399,500,555,616,794,996,879,888,908,986,1253,1710,1817,2027,2216,2673,3353,3893,4388,4895,5060,6098,5901,6961,8210,10237,12341,14398,17631,20526,23221,26592,40290
hongze county,209,221,235,254,317,359,446,524,721,841,1076,1144,1179,983,1238,1490,2213,3000,3635,3664,3974,4364,4869,5495,5746,6647,7783,10503,12629,15016,18682,23120,27616,34924,40192,45892,53044,68459
xuyi county,360,329,346,430,561,627,732,807,714,952,1277,1271,1257,967,987,1806,2168,2588,3108,3448,3976,4840,5618,6312,7200,8037,7795,8511,9953,11737,14562,16999,20024,24679,28338,32818,36232,49145
jinhu county,534,628,617,645,727,813,921,885,1021,1173,1321,1558,1695,1678,2057,2560,3990,4497,5358,5946,6772,7415,8031,8954,10081,8726,10558,10817,12763,14959,18611,22941,27424,34153,39874,46564,53900,65476
yancheng city,369,417,470,520,579,641,779,933,1040,1218,1615,1785,1952,2141,2495,5059,6815,9199,6918,7337,7918,8542,9345,9967,10931,12934,17915,20380,23474,27055,29545,35425,41626,49381,54825,60709,68769,74385
xiangshui county,208,235,261,304,301,370,449,548,625,738,916,1014,1043,1134,1317,1570,1994,2622,2877,3252,3635,3952,3711,4253,4820,5151,6278,8033,9090,10365,13181,17161,22044,26175,29498,32883,35531,48646
binhai county,158,176,188,220,271,283,333,413,462,501,653,680,727,811,848,990,1316,1900,2637,3087,3433,3693,3804,3886,4457,5226,6384,7330,8384,9415,11307,13741,16851,19825,22298,24988,27016,38359
funing county,172,187,205,246,275,313,362,423,481,544,650,744,758,765,1034,1324,1839,2553,3009,3529,3986,4356,4855,5387,6020,6895,6628,7964,9316,10963,12747,15216,18804,22116,24801,27205,29496,43315
sheyang county,250,304,265,340,336,406,476,551,699,940,1249,1323,1398,1584,1639,2190,3069,4186,5010,5525,5998,6011,6591,7384,8248,9374,11168,11664,13563,15401,17925,20819,25097,29576,33138,36373,38241,45737
jianhu county,330,353,381,391,416,467,525,597,747,832,978,1195,1227,1313,1510,2026,2655,3721,4592,5263,5911,6461,7185,7955,8963,10265,10802,12675,14691,17419,20936,24885,30408,35877,40352,44953,48921,58483
dongtai city,329,391,388,443,467,485,577,737,874,996,1367,1405,1510,1501,1732,2557,3533,5336,5240,5810,6360,6984,7929,8994,10113,11621,12395,14474,16882,19465,23308,27567,33656,39499,44607,49665,53665,67916
dafeng district,310,410,339,488,439,532,621,697,846,1021,1399,1584,1794,1866,2300,2964,4202,6145,7581,7955,8720,9465,10281,11476,12779,12348,14675,17376,20495,23893,28621,33524,40472,47837,54234,61141,67094,76167
yangzhou city,530,654,676,837,981,1083,1284,1500,1775,2039,2514,2707,2947,3356,4692,6360,8890,11671,13891,15711,16709,17316,19082,21274,23173,26409,32066,36445,42811,49277,56353,35633,41951,52062,58659,65482,75317,109000
baoying county,299,306,314,355,389,426,518,601,614,686,860,918,1024,1032,1321,1866,2927,3646,4423,4855,5285,5549,5751,5899,6441,7377,8912,10697,12537,15024,18248,21754,26576,31889,35769,40168,45901,60669
yizheng city,333,345,377,401,421,519,598,1141,1308,1908,2311,2415,2937,3964,4882,5577,7076,7844,7783,6855,6947,9610,10158,9390,10283,12201,14862,18004,21792,27215,35324,40156,49663,58886,65832,72692,82224,72329
gaoyou city,280,312,359,428,498,557,764,835,1010,1151,1238,1277,1447,1169,1719,2377,3472,4216,5155,5702,6257,6511,6572,6621,7363,8489,10313,12671,14955,18074,22142,26002,31167,36862,41106,46628,54419,65421
